Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Area,Q5_Income,Q6_Language,Q7_Purchase_Frequency,Q8_Monthly_Spend,Q9_Channels,Q10_Channel_Reason,Q11_Brand_Loyalty,Q12_Switching_Triggers,Q13_Price_Premium,Q14_Product_Categories,Q15_Halal_Certified,Q15_Natural_Organic,Q15_Free_From_Chemicals,Q15_Dermatologist_Tested,Q15_Vegan_Cruelty_Free,Q15_Arabian_Heritage,Q16_Product_Format,Q17_Festival_Triggers,Q18_Gift_Purchases,Q19_Cultural_Values,Q20_Discovery_Methods,Q21_Influencer_Impact,Q22_AI_Tool_Interest,Q23_Discount_Type,Q24_Loyalty_Programme,Q25_Brand_Interest
35-44,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Dubai Marina / JBR / JLT,"35,001-50,000",Hindi / Urdu,Every 2-3 months,201-400,"Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC); Duty-free shops",Best prices / discounts,Somewhat loyal,Availability in my preferred store; Personalised products,Up to 10% more,Haircare; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Very Important,Somewhat Important,Very Important,Somewhat Important,Essential,Very Important,Serum / oil-based concentrate,Diwali,"Yes, occasionally (2-4 times/year)",Health and wellness; Heritage and tradition,Instagram; Friends / family,Moderately,"Yes, definitely","Percentage discount (e.g., 20% off)",Unlikely,Very interested
25-34,Female,Emirati,Mirdif / Al Warqa / Rashidiya,"20,001-35,000",Arabic,Every 2-3 months,201-400,"Online marketplaces (Amazon.ae, Noon); Baqala / convenience stores",Best prices / discounts,Low loyalty,Lower price / better value,11-25% more,Face skincare; Body care; Fragrance / perfume / oud,Essential,Not Important,Essential,Somewhat Important,Essential,Somewhat Important,Rich cream / butter-based; Multi-use / hybrid products,Ramadan / Eid al-Fitr; Eid al-Adha; Wedding season / family events,"Yes, occasionally (2-4 times/year)",Religious compliance (halal),In-store browsing,Slightly,Probably,Loyalty points,Very likely,Neutral
18-24,Male,"Western Expat (European, American, Australian)",Deira / Bur Dubai / Al Karama,"Below 5,000",English,Every 2-3 months,101-200,Baqala / convenience stores,Convenience / delivery speed,Neutral,Lower price / better value; Superior ingredients / formulation,0% - would not pay more,Face skincare; Body care; Haircare; Men's grooming,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Essential,Somewhat Important,Multi-use / hybrid products; Sheet masks / single-use treatments,None - consistent spending,Never,Social image and status,Friends / family; In-store browsing,Slightly,"Yes, definitely",Loyalty points,Very likely,Neutral
18-24,Female,"Western Expat (European, American, Australian)",Al Barsha / Discovery Gardens / JVC,"20,001-35,000",Other,Every 2-3 months,401-700,"Hypermarkets (Carrefour, Lulu, Spinneys)",Convenience / delivery speed,Low loyalty,Personalised products,11-25% more,Face skincare; Body care; Fragrance / perfume / oud; Oral care; Colour cosmetics / makeup; Personal hygiene,Somewhat Important,Essential,Somewhat Important,Somewhat Important,Very Important,Essential,Lightweight gel / water-based; Spray / mist,Ramadan / Eid al-Fitr; Christmas / New Year; Dubai Shopping Festival (DSF / DSS); None - consistent spending,Rarely (once a year or less),Environmental sustainability,TikTok; Friends / family,Not at all,Probably,Free sample / trial size,Neutral,Interested
35-44,Male,African,Deira / Bur Dubai / Al Karama,"5,000-10,000",English,Monthly,50-100,Brand websites / D2C apps,Convenience / delivery speed,Low loyalty,Lower price / better value; Personalised products,Up to 10% more,Face skincare; Personal hygiene,Essential,Somewhat Important,Somewhat Important,Very Important,Not Important,Somewhat Important,Rich cream / butter-based; Multi-use / hybrid products,Ramadan / Eid al-Fitr,Rarely (once a year or less),Social image and status; Religious compliance (halal),Instagram; TikTok; YouTube,Moderately,Unsure,Free sample / trial size,Unlikely,Not very interested
25-34,Female,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Jumeirah / Umm Suqeim,"20,001-35,000",English,Every 2-3 months,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC); Brand websites / D2C apps",Ability to test / try before buying,Somewhat loyal,Halal / clean / organic certification; Recommendation from a friend or influencer,0% - would not pay more,Face skincare; Haircare; Men's grooming; Oral care; Personal hygiene,Essential,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Essential,Spray / mist,Ramadan / Eid al-Fitr; Eid al-Adha; Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Heritage and tradition,In-store browsing; Friends / family; TikTok,Very strongly,Probably,Free sample / trial size,Neutral,Interested
35-44,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Silicon Oasis / Academic City / Sports City,"5,000-10,000",English,Every 2-3 months,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys)",Best prices / discounts,Somewhat loyal,Lower price / better value,11-25% more,Face skincare; Colour cosmetics / makeup; Personal hygiene,Not Important,Very Important,Not Important,Somewhat Important,Very Important,Somewhat Important,Serum / oil-based concentrate; Spray / mist,Ramadan / Eid al-Fitr; Eid al-Adha; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Religious compliance (halal); Environmental sustainability,Instagram,Very strongly,Probably,"Percentage discount (e.g., 20% off)",Likely,Interested
18-24,Male,African,Deira / Bur Dubai / Al Karama,"20,001-35,000",English,Monthly,101-200,"Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps; Hypermarkets (Carrefour, Lulu, Spinneys)",Convenience / delivery speed,Neutral,Lower price / better value; Halal / clean / organic certification,Up to 10% more,Body care; Haircare; Fragrance / perfume / oud; Men's grooming,Not Important,Very Important,Somewhat Important,Not Important,Essential,Very Important,Serum / oil-based concentrate; Multi-use / hybrid products,Diwali; Christmas / New Year,Never,Health and wellness,TikTok,Moderately,Probably,Bundle deal,Neutral,Not very interested
25-34,Female,"Western Expat (European, American, Australian)",Jumeirah / Umm Suqeim,"20,001-35,000",English,Monthly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Duty-free shops",Widest product range,Somewhat loyal,Personalised products,More than 50% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Colour cosmetics / makeup,Not Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Lightweight gel / water-based,None - consistent spending,Never,Heritage and tradition; Scientific efficacy,Instagram; TikTok; Friends / family,Slightly,No,"Percentage discount (e.g., 20% off)",Unlikely,Interested
25-34,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Downtown / Business Bay / DIFC,"20,001-35,000",Arabic,Monthly,101-200,Duty-free shops; Subscription boxes,Convenience / delivery speed,Low loyalty,Lower price / better value; Recommendation from a friend or influencer,11-25% more,Face skincare; Men's grooming; Colour cosmetics / makeup,Essential,Not Important,Not Important,Very Important,Very Important,Essential,Multi-use / hybrid products,Eid al-Adha; Wedding season / family events,"Yes, occasionally (2-4 times/year)",Environmental sustainability; Heritage and tradition,TikTok; Friends / family; In-store browsing,Moderately,"Yes, definitely","Percentage discount (e.g., 20% off)",Very likely,Very interested
35-44,Male,Filipino,Mirdif / Al Warqa / Rashidiya,"10,001-20,000",English,Monthly,Above 700,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Ability to test / try before buying,Somewhat loyal,Availability in my preferred store,26-50% more,Face skincare; Fragrance / perfume / oud; Men's grooming; Oral care; Personal hygiene,Very Important,Somewhat Important,Essential,Somewhat Important,Not Important,Very Important,Serum / oil-based concentrate; Spray / mist,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Social image and status,Google search / blogs,Not at all,No,"Percentage discount (e.g., 20% off)",Likely,Neutral
25-34,Male,African,Downtown / Business Bay / DIFC,Prefer not to say,Arabic,Monthly,201-400,"Subscription boxes; Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Ability to test / try before buying,Neutral,Recommendation from a friend or influencer; Personalised products,26-50% more,Face skincare; Body care; Personal hygiene,Very Important,Somewhat Important,Essential,Somewhat Important,Somewhat Important,Not Important,Rich cream / butter-based,Ramadan / Eid al-Fitr; Eid al-Adha; Christmas / New Year,Never,Religious compliance (halal),Friends / family,Slightly,Probably,Free sample / trial size,Likely,Very interested
35-44,Male,"Western Expat (European, American, Australian)",Mirdif / Al Warqa / Rashidiya,Prefer not to say,English,Rarely / Only when needed,401-700,"Duty-free shops; Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon)",Widest product range,Very loyal,Recommendation from a friend or influencer; Availability in my preferred store,11-25% more,Face skincare; Body care; Fragrance / perfume / oud; Men's grooming; Oral care; Personal hygiene,Somewhat Important,Not Important,Very Important,Very Important,Somewhat Important,Very Important,Lightweight gel / water-based,None - consistent spending,Rarely (once a year or less),Social image and status; Religious compliance (halal),Instagram; TikTok; Friends / family,Slightly,Probably,"Percentage discount (e.g., 20% off)",Likely,Interested
45-54,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Jumeirah / Umm Suqeim,"35,001-50,000",English,Monthly,Above 700,"Beauty specialist stores (Sephora, Faces, MAC); Brand websites / D2C apps; Online marketplaces (Amazon.ae, Noon)",Widest product range,Very loyal,Attractive packaging / brand story; Availability in my preferred store,26-50% more,Face skincare; Body care; Haircare; Personal hygiene,Somewhat Important,Somewhat Important,Not Important,Somewhat Important,Not Important,Very Important,Lightweight gel / water-based; Sheet masks / single-use treatments,Dubai Shopping Festival (DSF / DSS),Never,Environmental sustainability; Health and wellness,TikTok; Instagram; YouTube,Slightly,Unsure,"Percentage discount (e.g., 20% off)",Very likely,Very interested
35-44,Female,"Western Expat (European, American, Australian)",Al Barsha / Discovery Gardens / JVC,"Above 50,000",English,Weekly,401-700,"Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC); Brand websites / D2C apps",Loyalty rewards / cashback,Somewhat loyal,Superior ingredients / formulation; Attractive packaging / brand story,26-50% more,Face skincare,Somewhat Important,Somewhat Important,Somewhat Important,Essential,Essential,Somewhat Important,Lightweight gel / water-based,Christmas / New Year; Wedding season / family events,"Yes, occasionally (2-4 times/year)",Scientific efficacy; Health and wellness,Instagram; YouTube,Slightly,"Yes, definitely","Percentage discount (e.g., 20% off)",Unlikely,Interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Mirdif / Al Warqa / Rashidiya,"10,001-20,000",English,Every 2-3 months,50-100,"Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Loyalty rewards / cashback,Somewhat loyal,Recommendation from a friend or influencer,Up to 10% more,Face skincare,Essential,Essential,Essential,Very Important,Somewhat Important,Somewhat Important,Serum / oil-based concentrate; Rich cream / butter-based,Ramadan / Eid al-Fitr; None - consistent spending,"Yes, occasionally (2-4 times/year)",Social image and status,Instagram; Friends / family; TikTok,Moderately,No,"Percentage discount (e.g., 20% off)",Likely,Interested
18-24,Male,Emirati,Dubai Marina / JBR / JLT,"Above 50,000",Arabic,Monthly,Above 700,"Pharmacies (BinSina, Aster, Life Pharmacy)",Widest product range,Very loyal,Lower price / better value; Attractive packaging / brand story,11-25% more,Body care; Haircare; Fragrance / perfume / oud; Men's grooming,Very Important,Not Important,Very Important,Somewhat Important,Somewhat Important,Essential,Lightweight gel / water-based; Rich cream / butter-based,Ramadan / Eid al-Fitr,"Yes, occasionally (2-4 times/year)",Heritage and tradition,Instagram,Moderately,Unsure,Buy-one-get-one-free (BOGO),Neutral,Neutral
45-54,Female,Emirati,Deira / Bur Dubai / Al Karama,"Above 50,000",Arabic,Every 2-3 months,50-100,"Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC)",Convenience / delivery speed,Neutral,Personalised products; Availability in my preferred store,Up to 10% more,Face skincare; Body care; Fragrance / perfume / oud; Colour cosmetics / makeup; Personal hygiene,Very Important,Essential,Essential,Somewhat Important,Essential,Very Important,Rich cream / butter-based,None - consistent spending,"Yes, frequently (5+ times/year)",Heritage and tradition; Health and wellness,TikTok; In-store browsing,Moderately,Unsure,"Percentage discount (e.g., 20% off)",Likely,Neutral
18-24,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Silicon Oasis / Academic City / Sports City,"Below 5,000",English,Every 2-3 months,Below 50,"Duty-free shops; Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC)",Best prices / discounts,Somewhat loyal,Superior ingredients / formulation; Recommendation from a friend or influencer,0% - would not pay more,Face skincare; Colour cosmetics / makeup,Very Important,Essential,Not Important,Not Important,Somewhat Important,Not Important,Rich cream / butter-based,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Social image and status,Instagram,Moderately,Probably,Buy-one-get-one-free (BOGO),Likely,Interested
45-54,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Al Barsha / Discovery Gardens / JVC,"10,001-20,000",Hindi / Urdu,Weekly,Below 50,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Brand websites / D2C apps",Convenience / delivery speed,Somewhat loyal,Personalised products,11-25% more,Body care; Haircare,Not Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Essential,Sheet masks / single-use treatments; Rich cream / butter-based,Diwali; Valentine's Day / Mother's Day,"Yes, occasionally (2-4 times/year)",Health and wellness,In-store browsing,Slightly,"Yes, definitely",Bundle deal,Very likely,Neutral
25-34,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"5,000-10,000",English,Every 2 weeks,Below 50,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Convenience / delivery speed,Neutral,Recommendation from a friend or influencer; Lower price / better value,11-25% more,Face skincare; Personal hygiene,Somewhat Important,Very Important,Somewhat Important,Essential,Somewhat Important,Very Important,Lightweight gel / water-based; Rich cream / butter-based,Ramadan / Eid al-Fitr; Eid al-Adha,Never,Religious compliance (halal); Environmental sustainability,TikTok,Moderately,No,Free sample / trial size,Likely,Interested
45-54,Male,Filipino,Al Barsha / Discovery Gardens / JVC,"10,001-20,000",Tagalog / Filipino,Every 2 weeks,201-400,"Pharmacies (BinSina, Aster, Life Pharmacy)",Widest product range,Low loyalty,Lower price / better value; Recommendation from a friend or influencer,Up to 10% more,Face skincare; Fragrance / perfume / oud; Men's grooming; Oral care; Colour cosmetics / makeup; Personal hygiene,Not Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Lightweight gel / water-based; Spray / mist,Christmas / New Year,Rarely (once a year or less),Health and wellness; Environmental sustainability,TikTok; YouTube; Subscription boxes,Not at all,Probably,Free sample / trial size,Neutral,Not very interested
